player_id,player_name,position,prior_team,target_season,career_state,career_flags,target_age,prior_seasons,prior_games,full_prior_seasons,latest_games,latest_rate,older_rate,rate_trend_pct,opportunity_trend_pct,latest_percentile,role_bucket,role_rank,role_stability,star_flag,shortened_prior,cohort_rows,cohort_rate,history_weight,state_adjustment,evidence_floor,predicted_games,contract_status,contract_decision_type,contract_rebound_research,generic_role_rate,identity_raw_rate,identity_shrunk_rate,identity_state_rate,identity_guardrail_rate,identity_contract_rate,generic_role_total,identity_raw_total,identity_shrunk_total,identity_state_total,identity_guardrail_total,identity_contract_total,generic_role_eq17,identity_raw_eq17,identity_shrunk_eq17,identity_state_eq17,identity_guardrail_eq17,identity_contract_eq17,forecast_team,forecast_position,current_roster_match,target_position,target_team,target_role,prior_role,target_room_ordinal,depth_verified,target_role_source,priorTeam,targetTeam,newTeam,priorQuarterbackId,targetQuarterbackId,targetQuarterback,newQuarterback,quarterbackRateDeltaPct,quarterbackFactor,priorSchemeValue,destinationSchemeValue,schemeDeltaPct,schemeFactor,newHeadCoach,newOffensiveCoordinator,offensiveContinuity,coachContinuityScore,coachingNote,seasonMatchupIndex,seasonMatchupFactor,nextOpponent,nextMatchupIndex,nextMatchupFactor,combinedFactor,role_generic_rate,last_year_raw_rate,last_year_rate,last_year_context_rate,last_year_games,last_year_reported_rate,older_fallback_rate,last_year_sample_weight,projection_blend_weight,context_eligible,projected_games_v21,role_generic_total,last_season_total,last_season_context_total,productionChanged,last_season_rate,last_season_context_rate,playerName,team,primaryMetric,role,roleSource,officialProjection,candidateProjection,delta,actualGames,candidateRemainingGames,nextGameRate,newsSignal,newsModifier,newsApplied
00-0039491,Jalen Coker,WR,CAR,2026.000000,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON,24.838956,2.000000,22.000000,2.000000,11.000000,35.818182,43.454545,-17.573222,-6.521739,29.535232,STARTER,3.000000,MEDIUM,False,True,726.000000,47.165158,0.785714,1.000000,0.000000,12.411765,UNKNOWN,,False,40.000000,39.615423,41.233223,41.233223,41.233223,41.233223,496.470588,491.697310,511.777068,511.777068,511.777068,511.777068,680.000000,673.462192,700.964799,700.964799,700.964799,700.964799,CAR,WR,True,WR,CAR,STARTER,STARTER,2,True,Ourlads depth chart,CAR,CAR,False,00-0039150,4685720,Bryce Young,True,0.000000,1.000000,0.602083,0.602083,0.000000,1.000000,False,False,HIGH,,Offensive leadership retained.,0.984883,0.996221,CHI,1.151000,1.037750,0.996221,53.000000,37.498182,40.288509,40.136248,11.000000,35.818182,43.454545,0.780000,0.820000,True,11.400000,901.000000,459.289004,457.553233,False,40.288509,40.136248,Jalen Coker,CAR,receivingYards,STARTER,Ourlads depth chart,727.000000,457.553233,-269.446767,0.000000,11.400000,41.651392,,1.000000,False
00-0037741,Jahan Dotson,WR,PHI,2026.000000,ESTABLISHED,,26.446108,3.000000,46.000000,3.000000,15.000000,17.466667,20.693277,-15.592555,-25.948013,3.598201,STARTER,3.000000,LOW,False,False,726.000000,47.165158,0.901961,1.000000,0.000000,15.000000,UNKNOWN,,False,40.000000,18.866265,21.640666,21.640666,21.640666,21.640666,600.000000,282.993978,324.609997,324.609997,324.609997,324.609997,680.000000,320.726508,367.891330,367.891330,367.891330,367.891330,ATL,WR,True,WR,ATL,STARTER,STARTER,3,True,Ourlads depth chart,PHI,ATL,True,00-0036389,4360423,Michael Penix Jr.,True,9.291425,1.016725,0.623913,0.511905,-17.952547,0.960504,True,True,LOW,,New head coach and offensive staff.,0.992323,0.998081,PIT,1.176803,1.040000,0.974694,40.000000,17.789328,21.120929,20.586445,15.000000,17.466667,20.693277,0.900000,0.850000,True,15.009000,680.000000,317.004020,308.981952,False,21.120929,20.586445,Jahan Dotson,ATL,receivingYards,STARTER,Ourlads depth chart,584.000000,308.981952,-275.018048,0.000000,15.009000,21.409903,,1.000000,False
00-0036407,Jerry Jeudy,WR,CLE,2026.000000,ESTABLISHED,,27.357831,3.000000,50.000000,3.000000,17.000000,35.411765,63.572426,-44.296975,-16.273789,28.185907,STARTER,1.000000,HIGH,False,False,726.000000,47.165158,0.909091,1.000000,0.000000,16.491935,UNKNOWN,,False,67.000000,48.064455,47.982701,47.982701,47.982701,47.982701,1104.959677,792.675887,791.327601,791.327601,791.327601,791.327601,1139.000000,817.095730,815.705909,815.705909,815.705909,815.705909,CLE,WR,True,WR,CLE,STARTER,STARTER,2,True,Ourlads depth chart,CLE,CLE,False,00-0040668,3122840,Deshaun Watson,True,0.000000,1.000000,0.442748,0.442748,0.000000,1.000000,True,True,LOW,,New head coach and offensive staff.,1.043905,1.010976,JAX,0.991104,0.997776,1.010976,53.000000,38.227831,39.852770,40.290201,17.000000,35.411765,63.572426,0.900000,0.890000,True,16.737000,901.000000,667.015806,674.337102,False,39.852770,40.290201,Jerry Jeudy,CLE,receivingYards,STARTER,Ourlads depth chart,951.000000,674.337102,-276.662898,0.000000,16.737000,40.200593,,1.000000,False
00-0035719,Deebo Samuel Sr.,WR,WAS,2026.000000,ESTABLISHED,RECENT_TEAM_CHANGE,30.629630,3.000000,46.000000,3.000000,16.000000,45.437500,49.846667,-8.845459,10.754773,47.676162,STARTER,1.000000,HIGH,False,False,131.000000,48.562500,0.901961,1.000000,0.000000,15.436207,UNKNOWN,,False,67.000000,47.344315,47.463745,47.463745,47.463745,47.463745,1034.225862,730.816640,732.660184,732.660184,732.660184,732.660184,1139.000000,804.853353,806.883661,806.883661,806.883661,806.883661,SF,WR,True,WR,SF,STARTER,STARTER,2,True,Ourlads depth chart,WAS,SF,True,00-0032268,4361741,Brock Purdy,True,42.051786,1.060000,0.631944,0.447320,-29.215332,0.940000,False,False,HIGH,,Offensive leadership retained.,0.983415,0.995854,LAR,1.041441,1.010360,0.992269,53.000000,45.878417,46.590575,46.230367,16.000000,45.437500,49.846667,0.900000,0.900000,True,15.720000,901.000000,732.403839,726.741368,False,46.590575,46.230367,Deebo Samuel Sr.,SF,receivingYards,STARTER,Ourlads depth chart,1012.000000,726.741368,-285.258632,0.000000,15.720000,46.709330,,1.000000,False
00-0034827,DJ Moore,WR,CHI,2026.000000,ESTABLISHED,,29.383882,3.000000,51.000000,3.000000,17.000000,40.117647,65.017647,-38.297295,-38.672439,37.856072,STARTER,2.000000,LOW,False,False,131.000000,48.562500,0.910714,1.000000,0.000000,16.619048,UNKNOWN,,False,53.000000,51.181170,50.947360,50.947360,50.947360,50.947360,880.809524,850.582305,846.696608,846.696608,846.696608,846.696608,901.000000,870.079893,866.105126,866.105126,866.105126,866.105126,BUF,WR,True,WR,BUF,STARTER,STARTER,1,True,Ourlads depth chart,CHI,BUF,True,00-0039918,4039034,Shane Buechele,True,-62.049721,0.940000,0.594340,0.585317,-1.518015,0.996660,True,True,MEDIUM,,Head-coach change with some offensive-system continuity.,0.973810,0.993453,HOU,0.914540,0.978635,0.930727,67.000000,42.607647,46.266500,43.061466,17.000000,40.117647,65.017647,0.900000,0.850000,True,16.800000,1139.000000,777.277199,723.432633,False,46.266500,43.061466,DJ Moore,BUF,receivingYards,STARTER,Ourlads depth chart,1019.000000,723.432633,-295.567367,0.000000,16.800000,42.141453,,1.000000,False
00-0037005,Tommy Tremble,TE,CAR,2026.000000,ESTABLISHED,,26.248978,3.000000,40.000000,3.000000,15.000000,16.600000,19.736667,-15.892586,-12.735849,4.921700,STARTER,1.000000,MEDIUM,False,False,234.000000,36.531373,0.888889,1.000000,0.000000,13.846154,UNKNOWN,,False,43.000000,18.052784,20.105961,20.105961,20.105961,20.105961,595.384615,249.961625,278.390222,278.390222,278.390222,278.390222,731.000000,306.897328,341.801329,341.801329,341.801329,341.801329,CAR,TE,True,TE,CAR,STARTER,STARTER,1,True,Ourlads depth chart,CAR,CAR,False,00-0039150,4685720,Bryce Young,True,0.000000,1.000000,0.206250,0.206250,0.000000,1.000000,False,False,HIGH,,Offensive leadership retained.,0.994773,0.998693,CHI,0.960649,0.990162,0.998693,43.000000,16.913667,19.522300,19.496791,15.000000,16.600000,19.736667,0.900000,0.900000,True,14.415000,731.000000,281.413955,281.046240,False,19.522300,19.496791,Tommy Tremble,CAR,receivingYards,STARTER,Ourlads depth chart,589.000000,281.046240,-307.953760,0.000000,14.415000,19.304985,,1.000000,False
00-0023459,Aaron Rodgers,QB,PIT,2026.000000,ESTABLISHED,LATE_CAREER|RECENT_TEAM_CHANGE,42.750344,3.000000,34.000000,2.000000,16.000000,207.625000,149.002941,39.342887,37.239009,23.489933,STARTER,1.000000,HIGH,False,False,46.000000,268.687500,0.871795,1.000000,0.000000,14.558696,UNKNOWN,,False,245.000000,176.315528,188.158088,188.158088,188.158088,188.158088,3566.880435,2566.924107,2739.336342,2739.336342,2739.336342,2739.336342,4165.000000,2997.363972,3198.687501,3198.687501,3198.687501,3198.687501,PIT,QB,True,QB,PIT,STARTER,STARTER,1,True,Ourlads depth chart,PIT,PIT,False,00-0023459,8439,Aaron Rodgers,False,0.000000,1.000000,32.352941,32.352941,0.000000,1.000000,True,True,LOW,,New head coach and offensive staff.,1.005481,1.001370,ATL,0.987801,0.996950,1.001370,245.000000,201.762794,206.518887,206.801876,16.000000,207.625000,149.002941,0.900000,0.890000,True,15.072000,4165.000000,3112.652661,3116.917869,False,206.518887,206.801876,Aaron Rodgers,PIT,passingYards,STARTER,Ourlads depth chart,3426.000000,3116.917869,-309.082131,0.000000,15.072000,206.171202,,1.000000,False
00-0039880,Malik Washington,WR,MIA,2026.000000,ASCENDING,,25.865671,2.000000,31.000000,2.000000,17.000000,18.647059,15.928571,17.066737,48.692810,4.122939,STARTER,2.000000,HIGH,False,False,726.000000,47.165158,0.815789,1.060000,0.000000,15.678523,UNKNOWN,,False,53.000000,17.974661,23.351858,24.752970,24.752970,24.752970,830.961696,281.816136,366.122637,388.089996,388.089996,388.089996,901.000000,305.569245,396.981591,420.800486,420.800486,420.800486,MIA,WR,True,WR,MIA,STARTER,STARTER,4,True,Ourlads depth chart,MIA,MIA,False,00-0036212,4242512,Malik Willis,True,-44.473684,0.940000,0.531453,0.531453,0.000000,1.000000,True,True,LOW,,New head coach and offensive staff.,0.958980,0.989745,LV,1.058785,1.014696,0.930360,40.000000,18.375210,20.753937,19.308639,17.000000,18.647059,15.928571,0.900000,0.890000,True,16.260000,680.000000,337.459017,313.958477,False,20.753937,19.308639,Malik Washington,MIA,receivingYards,STARTER,Ourlads depth chart,637.000000,313.958477,-323.041523,0.000000,16.260000,19.592402,,1.000000,False
00-0037291,Jalen Nailor,WR,MIN,2026.000000,ESTABLISHED,,27.502940,3.000000,35.000000,2.000000,17.000000,26.117647,21.323333,22.483885,23.716153,12.743628,STARTER,3.000000,HIGH,False,False,726.000000,47.165158,0.875000,1.000000,0.000000,14.478723,UNKNOWN,,False,40.000000,23.987186,26.884433,26.884433,26.884433,26.884433,579.148936,347.303833,389.252264,389.252264,389.252264,389.252264,680.000000,407.782164,457.035355,457.035355,457.035355,457.035355,LV,WR,True,WR,LV,STARTER,STARTER,3,True,Ourlads depth chart,MIN,LV,True,00-0039923,14880,Kirk Cousins,True,5.453431,1.009816,0.614699,0.460215,-25.131681,0.944710,True,True,LOW,,New head coach and offensive staff.,0.930290,0.982573,MIA,0.915809,0.978952,0.937358,40.000000,25.638216,27.792483,26.051514,17.000000,26.117647,21.323333,0.900000,0.850000,True,15.684000,680.000000,435.897307,408.591941,False,27.792483,26.051514,Jalen Nailor,LV,receivingYards,STARTER,Ourlads depth chart,732.000000,408.591941,-323.408059,0.000000,15.684000,25.503185,,1.000000,False
00-0039424,Devaughn Vele,WR,NO,2026.000000,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON|RECENT_TEAM_CHANGE,28.721308,2.000000,22.000000,2.000000,9.000000,32.555556,36.538462,-10.900585,2.424242,23.163418,STARTER,2.000000,HIGH,False,True,726.000000,47.165158,0.785714,1.000000,0.000000,12.498039,UNKNOWN,,False,53.000000,34.554211,37.256557,37.256557,37.256557,37.256557,662.396078,431.859881,465.633906,465.633906,465.633906,465.633906,901.000000,587.421583,633.361463,633.361463,633.361463,633.361463,NO,WR,True,WR,NO,STARTER,STARTER,3,True,Ourlads depth chart,NO,NO,False,00-0040743,4360689,Tyler Shough,True,0.000000,1.000000,0.533755,0.533755,0.000000,1.000000,False,False,HIGH,,Offensive leadership retained.,1.011731,1.002933,DET,1.118429,1.029607,1.002933,40.000000,33.431795,34.614072,34.715590,9.000000,32.555556,36.538462,0.780000,0.820000,True,11.900000,680.000000,411.907459,413.115524,False,34.614072,34.715590,Devaughn Vele,NO,receivingYards,STARTER,Ourlads depth chart,762.000000,413.115524,-348.884476,0.000000,11.900000,35.743419,,1.000000,False
00-0038124,Christian Watson,WR,GB,2026.000000,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON,27.308548,3.000000,33.000000,3.000000,10.000000,61.100000,45.196825,35.186486,21.632295,72.788606,STARTER,2.000000,MEDIUM,False,True,726.000000,47.165158,0.846154,1.020000,0.000000,12.323333,UNKNOWN,,False,53.000000,51.754072,51.048085,52.069047,52.069047,52.069047,653.136667,637.782678,629.082569,641.664220,641.664220,641.664220,901.000000,879.819220,867.817447,885.173796,885.173796,885.173796,GB,WR,True,WR,GB,STARTER,STARTER,2,True,Ourlads depth chart,GB,GB,False,00-0036264,4036378,Jordan Love,True,0.000000,1.000000,0.617391,0.617391,0.000000,1.000000,False,False,HIGH,,Offensive leadership retained.,0.990108,0.997527,MIN,0.833745,0.960000,0.997527,53.000000,57.601301,56.773067,56.632672,10.000000,61.100000,45.196825,0.780000,0.820000,True,11.355000,901.000000,644.658178,643.063994,False,56.773067,56.632672,Christian Watson,GB,receivingYards,STARTER,Ourlads depth chart,993.000000,643.063994,-349.936006,0.000000,11.355000,54.367365,,1.000000,False
00-0039751,Jordan Whittington,WR,LAR,2026.000000,DEVELOPING,,25.917692,2.000000,29.000000,2.000000,15.000000,11.400000,20.928571,-45.529010,-16.666667,0.599700,STARTER,3.000000,MEDIUM,False,False,726.000000,47.165158,0.707317,1.000000,0.000000,14.750359,UNKNOWN,,False,40.000000,13.986234,23.697139,23.697139,23.697139,23.697139,590.014347,206.301971,349.541298,349.541298,349.541298,349.541298,680.000000,237.765981,402.851360,402.851360,402.851360,402.851360,LAR,WR,True,WR,LAR,STARTER,STARTER,3,True,Ourlads depth chart,LAR,LAR,False,00-0026498,12483,Matthew Stafford,True,0.000000,1.000000,0.631670,0.631670,0.000000,1.000000,False,True,MEDIUM,,Head coach retained; offensive coordinator changed.,0.989785,0.997446,SF,1.054132,1.013533,0.997446,40.000000,12.352857,15.394043,15.354730,15.000000,11.400000,20.928571,0.900000,0.890000,True,14.820000,680.000000,228.139715,227.557095,False,15.394043,15.354730,Jordan Whittington,LAR,receivingYards,STARTER,Ourlads depth chart,616.000000,227.557095,-388.442905,0.000000,14.820000,15.562524,,1.000000,False
00-0033307,Kendrick Bourne,WR,SF,2026.000000,ESTABLISHED,LATE_CAREER|RECENT_TEAM_CHANGE,31.078646,3.000000,34.000000,3.000000,14.000000,39.357143,34.283333,14.799639,-15.205653,36.506747,STARTER,2.000000,HIGH,False,False,117.000000,50.250000,0.871795,1.000000,0.000000,13.152174,UNKNOWN,,False,53.000000,37.042366,38.735653,38.735653,38.735653,38.735653,697.065217,487.187646,509.458042,509.458042,509.458042,509.458042,901.000000,629.720230,658.506098,658.506098,658.506098,658.506098,ARI,WR,True,WR,ARI,STARTER,STARTER,2,True,Ourlads depth chart,SF,ARI,True,00-0036972,2578570,Jacoby Brissett,True,22.952779,1.041315,0.447320,0.449275,0.437178,1.000962,True,True,LOW,,New head coach and offensive staff.,1.002649,1.000662,LAC,0.916655,0.979164,1.043007,53.000000,38.849762,40.972298,42.734388,14.000000,39.357143,34.283333,0.900000,0.850000,True,12.808000,901.000000,524.773189,547.342039,False,40.972298,42.734388,Kendrick Bourne,ARI,receivingYards,STARTER,Ourlads depth chart,937.000000,547.342039,-389.657961,0.000000,12.808000,41.843959,,1.000000,False
