position,checkpoint,rows,paceMae,fullHistoryMae,shrinkageMae,hybridMae,hybridImprovementPctVsPace,hybridImprovementPctVsFullHistory,hybridImprovementPctVsShrinkage,shrinkageImprovementPctVsPace
QB,4,425,474.21110422910425,400.27259347856335,403.64832687999507,403.4722633828495,14.917162465280207,-0.7993727165978268,0.043618042097791875,14.880034803026964
QB,8,512,360.2823775020552,338.288284201323,340.72546095946177,340.72546095946177,5.428219020366017,-0.72044373747462,0.0,5.428219020366017
QB,12,581,241.50508532632026,251.15658155504846,241.50508532632026,241.64885023378838,-0.059528728877021514,3.7855792041731458,-0.059528728877021514,0.0
RB,4,880,227.17729119838498,210.6207417328988,212.3333332096162,213.76164567300714,5.905363804017932,-1.4912605065703857,-0.6726746299324106,6.534085299840174
RB,8,1129,143.90776776490907,147.41870517790227,143.2501849859286,143.2501849859286,0.45694738317024763,2.8276738606157026,0.0,0.45694738317024763
RB,12,1274,88.79914075437034,92.31732974982476,88.79914075437034,88.79914075437034,0.0,3.810973524676824,0.0,0.0
TE,4,634,139.59415302100632,124.89107090395254,127.11982312922498,128.03260102991592,8.282260926323037,-2.5154161168009987,-0.7180452884701127,8.936140677685966
TE,8,872,86.09487820570101,80.66725913607058,80.7769643196981,81.08483626989512,5.8192102018376906,-0.5176538019224904,-0.38113830197744697,6.176806329056137
TE,12,989,52.107730593751825,52.41764444206465,51.987602197850784,51.987602197850784,0.23053852956598636,0.8204150506785473,0.0,0.23053852956598636
WR,4,1422,182.16134460456718,161.99075650575847,162.80577170234264,162.80577170234264,10.625510557270696,-0.5031245079438825,0.0,10.625510557270696
WR,8,1765,120.0505196636854,115.4399005560454,116.10916216123303,116.10916216123303,3.2830824168807116,-0.5797489446577494,0.0,3.2830824168807116
WR,12,1940,72.71931259748271,73.55631955755739,72.4990843640221,72.4990843640221,0.3028469681494765,1.437313883966164,0.0,0.3028469681494765
