player_id,player_name,position,prior_team,target_season,career_state,career_flags,target_age,prior_seasons,prior_games,full_prior_seasons,latest_games,latest_rate,older_rate,rate_trend_pct,opportunity_trend_pct,latest_percentile,role_bucket,role_rank,role_stability,star_flag,shortened_prior,cohort_rows,cohort_rate,history_weight,state_adjustment,evidence_floor,predicted_games,contract_status,contract_decision_type,contract_rebound_research,generic_role_rate,identity_raw_rate,identity_shrunk_rate,identity_state_rate,identity_guardrail_rate,identity_contract_rate,generic_role_total,identity_raw_total,identity_shrunk_total,identity_state_total,identity_guardrail_total,identity_contract_total,generic_role_eq17,identity_raw_eq17,identity_shrunk_eq17,identity_state_eq17,identity_guardrail_eq17,identity_contract_eq17,forecast_team,forecast_position,current_roster_match
00-0039884,Tahj Washington,WR,MIA,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,25.296187,1,2,0,2,18.500000,,0.000000,0.000000,3.973013,BACKUP,8,LOW,False,True,497,8.200000,0.090909,1.000000,0.000000,7.142857,UNKNOWN,,False,6.000000,18.500000,9.136364,9.136364,9.136364,9.136364,42.857143,132.142857,65.259740,65.259740,65.259740,65.259740,102.000000,314.500000,155.318182,155.318182,155.318182,155.318182,PHI,WR,True
00-0040259,Gage Larvadain,WR,CLE,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,23.661656,1,13,1,13,5.461538,,0.000000,0.000000,0.074963,BACKUP,6,LOW,False,True,253,6.600000,0.393939,1.000000,0.000000,10.600000,UNKNOWN,,False,6.000000,5.461538,6.151515,6.151515,6.151515,6.151515,63.600000,57.892308,65.206061,65.206061,65.206061,65.206061,102.000000,92.846154,104.575758,104.575758,104.575758,104.575758,CLE,WR,True
00-0037524,Tay Martin,WR,WAS,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON|RECENT_TEAM_CHANGE,28.715833,2,3,0,2,11.500000,49.000000,-76.530612,-50.000000,0.674663,BACKUP,9,LOW,False,True,497,8.200000,0.130435,1.000000,0.000000,6.729412,UNKNOWN,,False,6.000000,19.271605,9.644122,9.644122,9.644122,9.644122,40.376471,129.686565,64.899271,64.899271,64.899271,64.899271,102.000000,327.617284,163.950081,163.950081,163.950081,163.950081,DET,WR,True
00-0040184,KeAndre Lambert-Smith,WR,LAC,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,24.877287,1,10,1,10,5.100000,,0.000000,0.000000,0.000000,BACKUP,5,LOW,False,True,497,8.200000,0.333333,1.000000,0.000000,8.909091,UNKNOWN,,False,6.000000,5.100000,7.166667,7.166667,7.166667,7.166667,53.454545,45.436364,63.848485,63.848485,63.848485,63.848485,102.000000,86.700000,121.833333,121.833333,121.833333,121.833333,LAC,WR,True
00-0038824,Ryan Miller,WR,TB,2026,DEVELOPING,SHORTENED_PRIOR_SEASON,26.530983,2,18,2,9,3.777778,14.222222,-73.437500,-80.000000,0.000000,BACKUP,8,LOW,False,True,497,8.200000,0.600000,1.000000,0.000000,8.600000,UNKNOWN,,False,6.000000,6.866255,7.399753,7.399753,7.399753,7.399753,51.600000,59.049794,63.637877,63.637877,63.637877,63.637877,102.000000,116.726337,125.795802,125.795802,125.795802,125.795802,MIA,WR,True
00-0040388,Jakobie Keeney-James,WR,GB,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,25.931381,1,1,0,1,15.000000,,0.000000,0.000000,1.799100,BACKUP,9,LOW,False,True,497,8.200000,0.047619,1.000000,0.000000,7.461538,UNKNOWN,,False,6.000000,15.000000,8.523810,8.523810,8.523810,8.523810,44.769231,111.923077,63.600733,63.600733,63.600733,63.600733,102.000000,255.000000,144.904762,144.904762,144.904762,144.904762,PIT,WR,True
00-0040406,Quentin Skinner,WR,NYJ,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,24.688371,1,1,0,1,10.000000,,0.000000,0.000000,0.449775,BACKUP,9,LOW,False,True,497,8.200000,0.047619,1.000000,0.000000,7.461538,UNKNOWN,,False,6.000000,10.000000,8.285714,8.285714,8.285714,8.285714,44.769231,74.615385,61.824176,61.824176,61.824176,61.824176,102.000000,170.000000,140.857143,140.857143,140.857143,140.857143,BUF,WR,True
00-0040172,Jordan Watkins,WR,SF,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,24.543262,1,2,0,2,13.000000,,0.000000,0.000000,1.049475,BACKUP,6,LOW,False,True,497,8.200000,0.090909,1.000000,0.000000,7.142857,UNKNOWN,,False,6.000000,13.000000,8.636364,8.636364,8.636364,8.636364,42.857143,92.857143,61.688312,61.688312,61.688312,61.688312,102.000000,221.000000,146.818182,146.818182,146.818182,146.818182,SF,WR,True
00-0034487,Trent Sherfield,WR,ARI,2026,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON|RECENT_TEAM_CHANGE,30.514638,3,28,2,4,5.250000,6.886364,-23.762376,8.695652,0.000000,BACKUP,7,MEDIUM,False,True,77,8.187500,0.823529,1.000000,0.000000,8.945000,UNKNOWN,,False,6.000000,6.472839,6.775426,6.775426,6.775426,6.775426,53.670000,57.899546,60.606189,60.606189,60.606189,60.606189,102.000000,110.038266,115.182248,115.182248,115.182248,115.182248,BUF,WR,True
00-0034854,KhaDarel Hodge,WR,ATL,2026,DECLINING,LATE_CAREER|SHORTENED_PRIOR_SEASON|ROLE_DROP,32.661157,3,33,3,8,3.875000,13.540909,-71.383014,-2.654867,0.000000,BACKUP,6,LOW,False,True,52,7.350000,0.804878,0.906711,0.000000,9.186667,UNKNOWN,,False,6.000000,7.161943,7.198637,6.527082,6.527082,6.527082,55.120000,65.794385,66.131481,59.962124,59.962124,59.962124,102.000000,121.753035,122.376833,110.960390,110.960390,110.960390,SF,WR,True
